"Time","paymentservice-7996994586-hnvbt"
2026-06-14 12:14:30,0
2026-06-14 12:15:00,46448640
2026-06-14 12:15:30,46751744
2026-06-14 12:16:00,34701312
2026-06-14 12:16:30,34836480
2026-06-14 12:17:00,35352576
2026-06-14 12:17:30,35880960
2026-06-14 12:18:00,34930688
2026-06-14 12:18:30,35254272
2026-06-14 12:19:00,35627008
2026-06-14 12:19:30,34803712
2026-06-14 12:20:00,35172352
2026-06-14 12:20:30,35532800
2026-06-14 12:21:00,35799040
2026-06-14 12:21:30,34938880
2026-06-14 12:22:00,35287040
2026-06-14 12:22:30,35799040
2026-06-14 12:23:00,34922496
2026-06-14 12:23:30,35155968
2026-06-14 12:24:00,35557376
2026-06-14 12:24:30,35921920
2026-06-14 12:25:00,35082240
2026-06-14 12:25:30,35381248
2026-06-14 12:26:00,35823616
2026-06-14 12:26:30,35016704
2026-06-14 12:27:00,35303424
2026-06-14 12:27:30,35500032
2026-06-14 12:28:00,35815424
2026-06-14 12:28:30,34975744
2026-06-14 12:29:00,35258368
2026-06-14 12:29:30,35692544
2026-06-14 12:30:00,35196928
2026-06-14 12:30:30,35479552
2026-06-14 12:31:00,35692544
2026-06-14 12:31:30,36106240
2026-06-14 12:32:00,35422208
2026-06-14 12:32:30,35721216
2026-06-14 12:33:00,35930112
2026-06-14 12:33:30,35246080
2026-06-14 12:34:00,35430400
2026-06-14 12:34:30,35942400
2026-06-14 12:35:00,36061184
2026-06-14 12:35:30,36429824
2026-06-14 12:36:00,38322176
2026-06-14 12:36:30,38756352
2026-06-14 12:37:00,38055936
2026-06-14 12:37:30,38146048
2026-06-14 12:38:00,38670336
2026-06-14 12:38:30,38002688
2026-06-14 12:39:00,38293504
2026-06-14 12:39:30,38625280
2026-06-14 12:40:00,38858752
2026-06-14 12:40:30,38064128
2026-06-14 12:41:00,38461440
2026-06-14 12:41:30,38928384
2026-06-14 12:42:00,38199296
2026-06-14 12:42:30,38391808
2026-06-14 12:43:00,38850560
2026-06-14 12:43:30,38969344
2026-06-14 12:44:00,38326272
2026-06-14 12:44:30,38641664
2026-06-14 12:45:00,38989824
2026-06-14 12:45:30,38264832
2026-06-14 12:46:00,38678528
2026-06-14 12:46:30,39018496
2026-06-14 12:47:00,38223872
2026-06-14 12:47:30,38506496
2026-06-14 12:48:00,38838272
2026-06-14 12:48:30,39182336
2026-06-14 12:49:00,38518784
2026-06-14 12:49:30,38817792
2026-06-14 12:50:00,39059456
2026-06-14 12:50:30,38342656
2026-06-14 12:51:00,38649856
2026-06-14 12:51:30,38985728
2026-06-14 12:52:00,38350848
2026-06-14 12:52:30,38453248
2026-06-14 12:53:00,38887424
2026-06-14 12:53:30,39256064
2026-06-14 12:54:00,38371328
2026-06-14 12:54:30,38633472
2026-06-14 12:55:00,38948864
2026-06-14 12:55:30,39292928
2026-06-14 12:56:00,38416384
2026-06-14 12:56:30,38682624
2026-06-14 12:57:00,39002112
2026-06-14 12:57:30,39276544
2026-06-14 12:58:00,38526976
2026-06-14 12:58:30,38932480
2026-06-14 12:59:00,38248448
2026-06-14 12:59:30,38535168
2026-06-14 13:00:00,38645760
2026-06-14 13:00:30,39034880
2026-06-14 13:01:00,38281216
2026-06-14 13:01:30,38653952
2026-06-14 13:02:00,38875136
2026-06-14 13:02:30,39215104
2026-06-14 13:03:00,38477824
2026-06-14 13:03:30,38797312
2026-06-14 13:04:00,39141376
2026-06-14 13:04:30,38395904
2026-06-14 13:05:00,38678528
2026-06-14 13:05:30,39075840
2026-06-14 13:06:00,38391808
2026-06-14 13:06:30,38592512
2026-06-14 13:07:00,38998016
2026-06-14 13:07:30,39235584
2026-06-14 13:08:00,38498304
2026-06-14 13:08:30,38760448
2026-06-14 13:09:00,38969344
2026-06-14 13:09:30,39301120
2026-06-14 13:10:00,38576128
2026-06-14 13:10:30,38862848
2026-06-14 13:11:00,39174144
2026-06-14 13:11:30,39510016
2026-06-14 13:12:00,38559744
2026-06-14 13:12:30,38838272
2026-06-14 13:13:00,39153664
2026-06-14 13:13:30,39387136
2026-06-14 13:14:00,39387136
2026-06-14 13:14:30,39387136
2026-06-14 13:15:00,39387136
2026-06-14 13:15:30,39387136
2026-06-14 13:16:00,39387136
2026-06-14 13:16:30,39387136
2026-06-14 13:17:00,39387136
2026-06-14 13:17:30,39387136
2026-06-14 13:18:00,39387136
