"Time","5m负载","核数","平均%"
2026-06-14 19:44:30,1,4,19.2%
2026-06-14 19:45:00,1.17,4,45.4%
2026-06-14 19:45:30,1.89,4,58.6%
2026-06-14 19:46:00,2.06,4,47.8%
2026-06-14 19:46:30,2.16,4,50.7%
2026-06-14 19:47:00,2.83,4,45.7%
2026-06-14 19:47:30,3.25,4,52.9%
2026-06-14 19:48:00,3.13,4,49.4%
2026-06-14 19:48:30,3.67,4,50.1%
2026-06-14 19:49:00,4.48,4,46.5%
2026-06-14 19:49:30,4.17,4,52.3%
2026-06-14 19:50:00,4.08,4,52.8%
2026-06-14 19:50:30,3.69,4,50.2%
2026-06-14 19:51:00,4.06,4,53.6%
2026-06-14 19:51:30,4.59,4,50.4%
2026-06-14 19:52:00,4.48,4,51.5%
2026-06-14 19:52:30,4.16,4,52.7%
2026-06-14 19:53:00,5.33,4,50.1%
2026-06-14 19:53:30,5.74,4,49.1%
2026-06-14 19:54:00,5.49,4,50.1%
2026-06-14 19:54:30,5.05,4,49.7%
2026-06-14 19:55:00,5.06,4,51.6%
2026-06-14 19:55:30,5.07,4,48.7%
2026-06-14 19:56:00,4.81,4,48.9%
2026-06-14 19:56:30,4.41,4,49.3%
2026-06-14 19:57:00,4.58,4,49.4%
2026-06-14 19:57:30,4.74,4,48.9%
2026-06-14 19:58:00,4.50,4,52.0%
2026-06-14 19:58:30,4.16,4,50.1%
2026-06-14 19:59:00,4.11,4,49.1%
2026-06-14 19:59:30,4.79,4,49.3%
2026-06-14 20:00:00,4.77,4,57.0%
2026-06-14 20:00:30,4.74,4,39.2%
2026-06-14 20:01:00,4.33,4,26.5%
2026-06-14 20:01:30,4.28,4,26.0%
2026-06-14 20:02:00,4.24,4,23.4%
2026-06-14 20:02:30,4.16,4,27.1%
2026-06-14 20:03:00,3.95,4,25.0%
2026-06-14 20:03:30,3.87,4,29.7%
2026-06-14 20:04:00,3.58,4,22.5%
2026-06-14 20:04:30,3.41,4,25.9%
2026-06-14 20:05:00,3.17,4,24.6%
2026-06-14 20:05:30,3.06,4,23.1%
2026-06-14 20:06:00,2.88,4,24.4%
2026-06-14 20:06:30,2.68,4,23.6%
2026-06-14 20:07:00,2.42,4,22.2%
2026-06-14 20:07:30,2.47,4,22.9%
2026-06-14 20:08:00,2.39,4,23.6%
2026-06-14 20:08:30,2.19,4,23.1%
2026-06-14 20:09:00,2.01,4,21.6%
2026-06-14 20:09:30,1.92,4,22.3%
