"Time","eth0_in下载","eth0_out上传"
2026-06-14 19:44:30,7.72 kb/s,92.4 kb/s
2026-06-14 19:45:00,54.9 kb/s,379 kb/s
2026-06-14 19:45:30,213 kb/s,1.99 Mb/s
2026-06-14 19:46:00,125 kb/s,1.33 Mb/s
2026-06-14 19:46:30,186 kb/s,1.57 Mb/s
2026-06-14 19:47:00,150 kb/s,1.63 Mb/s
2026-06-14 19:47:30,202 kb/s,1.76 Mb/s
2026-06-14 19:48:00,172 kb/s,1.84 Mb/s
2026-06-14 19:48:30,176 kb/s,1.53 Mb/s
2026-06-14 19:49:00,156 kb/s,1.53 Mb/s
2026-06-14 19:49:30,166 kb/s,1.70 Mb/s
2026-06-14 19:50:00,187 kb/s,1.75 Mb/s
2026-06-14 19:50:30,174 kb/s,1.76 Mb/s
2026-06-14 19:51:00,191 kb/s,1.74 Mb/s
2026-06-14 19:51:30,158 kb/s,1.67 Mb/s
2026-06-14 19:52:00,190 kb/s,1.65 Mb/s
2026-06-14 19:52:30,162 kb/s,1.68 Mb/s
2026-06-14 19:53:00,185 kb/s,1.70 Mb/s
2026-06-14 19:53:30,175 kb/s,1.74 Mb/s
2026-06-14 19:54:00,183 kb/s,1.76 Mb/s
2026-06-14 19:54:30,183 kb/s,1.74 Mb/s
2026-06-14 19:55:00,183 kb/s,1.78 Mb/s
2026-06-14 19:55:30,179 kb/s,1.74 Mb/s
2026-06-14 19:56:00,178 kb/s,1.69 Mb/s
2026-06-14 19:56:30,175 kb/s,1.69 Mb/s
2026-06-14 19:57:00,181 kb/s,1.73 Mb/s
2026-06-14 19:57:30,175 kb/s,1.71 Mb/s
2026-06-14 19:58:00,177 kb/s,1.70 Mb/s
2026-06-14 19:58:30,180 kb/s,1.73 Mb/s
2026-06-14 19:59:00,170 kb/s,1.72 Mb/s
2026-06-14 19:59:30,189 kb/s,1.74 Mb/s
2026-06-14 20:00:00,177 kb/s,1.74 Mb/s
2026-06-14 20:00:30,100 kb/s,724 kb/s
2026-06-14 20:01:00,20.7 kb/s,108 kb/s
2026-06-14 20:01:30,5.95 kb/s,93.8 kb/s
2026-06-14 20:02:00,11.2 kb/s,98.9 kb/s
2026-06-14 20:02:30,53.1 kb/s,142 kb/s
2026-06-14 20:03:00,21.4 kb/s,107 kb/s
2026-06-14 20:03:30,60.3 kb/s,119 kb/s
2026-06-14 20:04:00,5.63 kb/s,76.7 kb/s
2026-06-14 20:04:30,30.1 kb/s,104 kb/s
2026-06-14 20:05:00,6.04 kb/s,91.6 kb/s
2026-06-14 20:05:30,18.2 kb/s,97.6 kb/s
2026-06-14 20:06:00,22.8 kb/s,99.0 kb/s
2026-06-14 20:06:30,5.89 kb/s,91.4 kb/s
2026-06-14 20:07:00,6.00 kb/s,91.6 kb/s
2026-06-14 20:07:30,9.72 kb/s,92.8 kb/s
2026-06-14 20:08:00,5.81 kb/s,91.4 kb/s
2026-06-14 20:08:30,6.36 kb/s,91.8 kb/s
2026-06-14 20:09:00,5.86 kb/s,91.2 kb/s
2026-06-14 20:09:30,5.72 kb/s,91.2 kb/s
