"Time","总使用率","系统使用率","用户使用率","磁盘IO使用率"
2026-06-14 17:48:00,24%,6%,13%,0%
2026-06-14 17:48:30,41%,8%,29%,0%
2026-06-14 17:49:00,31%,8%,17%,0%
2026-06-14 17:49:30,28%,7%,15%,0%
2026-06-14 17:50:00,30%,8%,17%,0%
2026-06-14 17:50:30,28%,7%,15%,0%
2026-06-14 17:51:00,29%,8%,16%,0%
2026-06-14 17:51:30,28%,7%,15%,0%
2026-06-14 17:52:00,30%,8%,17%,0%
2026-06-14 17:52:30,30%,8%,16%,0%
2026-06-14 17:53:00,29%,8%,16%,0%
2026-06-14 17:53:30,29%,8%,16%,0%
2026-06-14 17:54:00,33%,9%,19%,0%
2026-06-14 17:54:30,30%,8%,16%,0%
2026-06-14 17:55:00,30%,8%,17%,0%
2026-06-14 17:55:30,30%,8%,16%,0%
2026-06-14 17:56:00,28%,8%,15%,0%
2026-06-14 17:56:30,29%,8%,16%,0%
2026-06-14 17:57:00,29%,7%,16%,0%
2026-06-14 17:57:30,30%,8%,16%,0%
2026-06-14 17:58:00,29%,8%,16%,0%
2026-06-14 17:58:30,29%,7%,16%,0%
2026-06-14 17:59:00,31%,8%,17%,0%
2026-06-14 17:59:30,30%,8%,16%,0%
2026-06-14 18:00:00,31%,8%,18%,0%
2026-06-14 18:00:30,30%,8%,16%,0%
2026-06-14 18:01:00,28%,7%,15%,0%
2026-06-14 18:01:30,29%,8%,15%,0%
2026-06-14 18:02:00,29%,8%,16%,0%
2026-06-14 18:02:30,28%,7%,15%,0%
2026-06-14 18:03:00,28%,7%,15%,0%
2026-06-14 18:03:30,29%,8%,15%,0%
2026-06-14 18:04:00,30%,8%,16%,0%
2026-06-14 18:04:30,31%,8%,16%,0%
2026-06-14 18:05:00,31%,8%,18%,0%
2026-06-14 18:05:30,27%,7%,14%,0%
2026-06-14 18:06:00,27%,7%,14%,0%
2026-06-14 18:06:30,27%,7%,14%,0%
2026-06-14 18:07:00,27%,7%,14%,0%
2026-06-14 18:07:30,26%,6%,13%,0%
2026-06-14 18:08:00,27%,7%,15%,0%
2026-06-14 18:08:30,29%,8%,15%,0%
2026-06-14 18:09:00,26%,7%,14%,0%
2026-06-14 18:09:30,26%,7%,14%,0%
2026-06-14 18:10:00,31%,8%,18%,0%
2026-06-14 18:10:30,26%,7%,14%,0%
2026-06-14 18:11:00,27%,7%,15%,0%
2026-06-14 18:11:30,25%,7%,14%,0%
2026-06-14 18:12:00,27%,7%,15%,0%
2026-06-14 18:12:30,26%,7%,14%,0%
2026-06-14 18:13:00,26%,7%,13%,0%
2026-06-14 18:13:30,25%,6%,14%,0%
2026-06-14 18:14:00,25%,6%,15%,0%
2026-06-14 18:14:30,25%,7%,14%,0%
2026-06-14 18:15:00,24%,6%,14%,0%
2026-06-14 18:15:30,24%,6%,13%,0%
2026-06-14 18:16:00,19%,5%,10%,0%
2026-06-14 18:16:30,20%,5%,11%,0%
2026-06-14 18:17:00,19%,5%,10%,0%
2026-06-14 18:17:30,20%,5%,10%,0%
2026-06-14 18:18:00,20%,5%,11%,0%
2026-06-14 18:18:30,19%,5%,10%,0%
2026-06-14 18:19:00,20%,5%,11%,0%
2026-06-14 18:19:30,20%,5%,11%,0%
2026-06-14 18:20:00,24%,6%,14%,0%
2026-06-14 18:20:30,23%,6%,12%,0%
2026-06-14 18:21:00,23%,6%,12%,0%
2026-06-14 18:21:30,23%,6%,12%,0%
2026-06-14 18:22:00,22%,6%,12%,0%
2026-06-14 18:22:30,24%,7%,13%,0%
2026-06-14 18:23:00,22%,6%,12%,0%
