"Time","总已用","总内存","总平均%"
2026-06-14 17:48:00,4 GiB,7 GiB,53.5%
2026-06-14 17:48:30,4 GiB,7 GiB,55.0%
2026-06-14 17:49:00,4 GiB,7 GiB,53.9%
2026-06-14 17:49:30,4 GiB,7 GiB,53.8%
2026-06-14 17:50:00,4 GiB,7 GiB,55.0%
2026-06-14 17:50:30,4 GiB,7 GiB,55.3%
2026-06-14 17:51:00,4 GiB,7 GiB,55.3%
2026-06-14 17:51:30,4 GiB,7 GiB,55.4%
2026-06-14 17:52:00,4 GiB,7 GiB,56.2%
2026-06-14 17:52:30,4 GiB,7 GiB,56.2%
2026-06-14 17:53:00,4 GiB,7 GiB,55.7%
2026-06-14 17:53:30,4 GiB,7 GiB,55.7%
2026-06-14 17:54:00,4 GiB,7 GiB,54.1%
2026-06-14 17:54:30,4 GiB,7 GiB,54.2%
2026-06-14 17:55:00,4 GiB,7 GiB,56.1%
2026-06-14 17:55:30,4 GiB,7 GiB,56.2%
2026-06-14 17:56:00,4 GiB,7 GiB,56.5%
2026-06-14 17:56:30,4 GiB,7 GiB,56.6%
2026-06-14 17:57:00,4 GiB,7 GiB,57.0%
2026-06-14 17:57:30,4 GiB,7 GiB,57.1%
2026-06-14 17:58:00,4 GiB,7 GiB,57.1%
2026-06-14 17:58:30,4 GiB,7 GiB,57.1%
2026-06-14 17:59:00,4 GiB,7 GiB,55.0%
2026-06-14 17:59:30,4 GiB,7 GiB,53.8%
2026-06-14 18:00:00,4 GiB,7 GiB,55.1%
2026-06-14 18:00:30,4 GiB,7 GiB,55.3%
2026-06-14 18:01:00,4 GiB,7 GiB,55.5%
2026-06-14 18:01:30,4 GiB,7 GiB,55.8%
2026-06-14 18:02:00,4 GiB,7 GiB,56.2%
2026-06-14 18:02:30,4 GiB,7 GiB,56.7%
2026-06-14 18:03:00,4 GiB,7 GiB,56.9%
2026-06-14 18:03:30,4 GiB,7 GiB,56.9%
2026-06-14 18:04:00,4 GiB,7 GiB,54.4%
2026-06-14 18:04:30,4 GiB,7 GiB,54.6%
2026-06-14 18:05:00,4 GiB,7 GiB,55.9%
2026-06-14 18:05:30,4 GiB,7 GiB,56.2%
2026-06-14 18:06:00,4 GiB,7 GiB,56.3%
2026-06-14 18:06:30,4 GiB,7 GiB,56.4%
2026-06-14 18:07:00,4 GiB,7 GiB,56.4%
2026-06-14 18:07:30,4 GiB,7 GiB,56.6%
2026-06-14 18:08:00,4 GiB,7 GiB,56.6%
2026-06-14 18:08:30,4 GiB,7 GiB,56.9%
2026-06-14 18:09:00,4 GiB,7 GiB,54.7%
2026-06-14 18:09:30,4 GiB,7 GiB,54.4%
2026-06-14 18:10:00,4 GiB,7 GiB,55.8%
2026-06-14 18:10:30,4 GiB,7 GiB,56.0%
2026-06-14 18:11:00,4 GiB,7 GiB,55.8%
2026-06-14 18:11:30,4 GiB,7 GiB,56.3%
2026-06-14 18:12:00,4 GiB,7 GiB,56.9%
2026-06-14 18:12:30,4 GiB,7 GiB,56.1%
2026-06-14 18:13:00,4 GiB,7 GiB,55.8%
2026-06-14 18:13:30,4 GiB,7 GiB,55.8%
2026-06-14 18:14:00,3 GiB,7 GiB,49.2%
2026-06-14 18:14:30,3 GiB,7 GiB,48.5%
2026-06-14 18:15:00,4 GiB,7 GiB,51.0%
2026-06-14 18:15:30,4 GiB,7 GiB,52.6%
2026-06-14 18:16:00,4 GiB,7 GiB,52.6%
2026-06-14 18:16:30,4 GiB,7 GiB,52.9%
2026-06-14 18:17:00,4 GiB,7 GiB,52.9%
2026-06-14 18:17:30,4 GiB,7 GiB,52.5%
2026-06-14 18:18:00,4 GiB,7 GiB,51.7%
2026-06-14 18:18:30,4 GiB,7 GiB,51.6%
2026-06-14 18:19:00,3 GiB,7 GiB,49.2%
2026-06-14 18:19:30,3 GiB,7 GiB,49.0%
2026-06-14 18:20:00,4 GiB,7 GiB,50.5%
2026-06-14 18:20:30,4 GiB,7 GiB,51.6%
2026-06-14 18:21:00,4 GiB,7 GiB,53.1%
2026-06-14 18:21:30,4 GiB,7 GiB,53.3%
2026-06-14 18:22:00,4 GiB,7 GiB,53.4%
2026-06-14 18:22:30,4 GiB,7 GiB,53.2%
2026-06-14 18:23:00,4 GiB,7 GiB,53.5%
