"Time","5m负载","核数","平均%"
2026-06-14 17:47:30,1.32,4,20.4%
2026-06-14 17:48:00,1.30,4,23.8%
2026-06-14 17:48:30,1.55,4,41.1%
2026-06-14 17:49:00,1.52,4,31.4%
2026-06-14 17:49:30,1.50,4,28.2%
2026-06-14 17:50:00,1.47,4,29.9%
2026-06-14 17:50:30,1.39,4,28.0%
2026-06-14 17:51:00,1.29,4,28.5%
2026-06-14 17:51:30,1.44,4,27.6%
2026-06-14 17:52:00,1.35,4,30.1%
2026-06-14 17:52:30,1.41,4,29.9%
2026-06-14 17:53:00,1.48,4,29.5%
2026-06-14 17:53:30,1.37,4,29.4%
2026-06-14 17:54:00,1.32,4,33.4%
2026-06-14 17:54:30,1.63,4,30.1%
2026-06-14 17:55:00,1.49,4,30.0%
2026-06-14 17:55:30,1.45,4,29.7%
2026-06-14 17:56:00,1.63,4,28.4%
2026-06-14 17:56:30,1.77,4,28.7%
2026-06-14 17:57:00,1.86,4,29.1%
2026-06-14 17:57:30,1.89,4,29.6%
2026-06-14 17:58:00,2.15,4,29.2%
2026-06-14 17:58:30,2.27,4,28.5%
2026-06-14 17:59:00,2.10,4,31.1%
2026-06-14 17:59:30,1.92,4,29.6%
2026-06-14 18:00:00,1.84,4,31.2%
2026-06-14 18:00:30,1.75,4,29.8%
2026-06-14 18:01:00,1.66,4,28.3%
2026-06-14 18:01:30,1.92,4,29.4%
2026-06-14 18:02:00,1.79,4,28.7%
2026-06-14 18:02:30,2.07,4,28.4%
2026-06-14 18:03:00,2,4,27.6%
2026-06-14 18:03:30,1.98,4,28.8%
2026-06-14 18:04:00,1.87,4,29.5%
2026-06-14 18:04:30,1.75,4,31.0%
2026-06-14 18:05:00,1.84,4,31.3%
2026-06-14 18:05:30,1.93,4,27.4%
2026-06-14 18:06:00,1.98,4,26.7%
2026-06-14 18:06:30,1.90,4,27.1%
2026-06-14 18:07:00,1.81,4,26.5%
2026-06-14 18:07:30,1.67,4,25.6%
2026-06-14 18:08:00,1.66,4,27.2%
2026-06-14 18:08:30,1.80,4,28.8%
2026-06-14 18:09:00,1.78,4,26.0%
2026-06-14 18:09:30,1.70,4,25.8%
2026-06-14 18:10:00,1.57,4,31.4%
2026-06-14 18:10:30,1.45,4,26.0%
2026-06-14 18:11:00,1.65,4,26.9%
2026-06-14 18:11:30,1.52,4,25.4%
2026-06-14 18:12:00,1.42,4,26.9%
2026-06-14 18:12:30,1.54,4,25.8%
2026-06-14 18:13:00,1.58,4,25.7%
2026-06-14 18:13:30,1.48,4,25.5%
2026-06-14 18:14:00,1.40,4,25.2%
2026-06-14 18:14:30,1.27,4,25.4%
2026-06-14 18:15:00,1.14,4,23.6%
2026-06-14 18:15:30,1.13,4,24.4%
2026-06-14 18:16:00,1.05,4,19.0%
2026-06-14 18:16:30,1,4,19.6%
2026-06-14 18:17:00,0.950,4,18.9%
2026-06-14 18:17:30,1.01,4,19.6%
2026-06-14 18:18:00,0.990,4,20.2%
2026-06-14 18:18:30,0.940,4,19.4%
2026-06-14 18:19:00,0.910,4,19.9%
2026-06-14 18:19:30,0.930,4,20.1%
2026-06-14 18:20:00,1.01,4,23.7%
2026-06-14 18:20:30,1.12,4,22.6%
2026-06-14 18:21:00,1.03,4,22.8%
2026-06-14 18:21:30,1.01,4,22.6%
2026-06-14 18:22:00,1.48,4,22.5%
2026-06-14 18:22:30,1.50,4,24.5%
