"Time","eth0_in下载","eth0_out上传"
2026-06-14 17:47:00,37.8 kb/s,20.4 kb/s
2026-06-14 17:47:30,35.9 kb/s,20.7 kb/s
2026-06-14 17:48:00,40.2 kb/s,21.5 kb/s
2026-06-14 17:48:30,39.1 kb/s,51.4 kb/s
2026-06-14 17:49:00,67.4 kb/s,331 kb/s
2026-06-14 17:49:30,57.2 kb/s,283 kb/s
2026-06-14 17:50:00,66.7 kb/s,300 kb/s
2026-06-14 17:50:30,58.3 kb/s,285 kb/s
2026-06-14 17:51:00,67.9 kb/s,293 kb/s
2026-06-14 17:51:30,56.8 kb/s,296 kb/s
2026-06-14 17:52:00,90.2 kb/s,300 kb/s
2026-06-14 17:52:30,80.4 kb/s,305 kb/s
2026-06-14 17:53:00,84.6 kb/s,321 kb/s
2026-06-14 17:53:30,85.0 kb/s,302 kb/s
2026-06-14 17:54:00,101 kb/s,343 kb/s
2026-06-14 17:54:30,82.1 kb/s,310 kb/s
2026-06-14 17:55:00,82.5 kb/s,308 kb/s
2026-06-14 17:55:30,84.4 kb/s,315 kb/s
2026-06-14 17:56:00,86.8 kb/s,301 kb/s
2026-06-14 17:56:30,79.7 kb/s,292 kb/s
2026-06-14 17:57:00,83.1 kb/s,295 kb/s
2026-06-14 17:57:30,85.9 kb/s,324 kb/s
2026-06-14 17:58:00,81.3 kb/s,302 kb/s
2026-06-14 17:58:30,83.0 kb/s,310 kb/s
2026-06-14 17:59:00,82.1 kb/s,315 kb/s
2026-06-14 17:59:30,84.7 kb/s,320 kb/s
2026-06-14 18:00:00,80.7 kb/s,293 kb/s
2026-06-14 18:00:30,83.0 kb/s,314 kb/s
2026-06-14 18:01:00,83.3 kb/s,307 kb/s
2026-06-14 18:01:30,84.6 kb/s,301 kb/s
2026-06-14 18:02:00,82.7 kb/s,306 kb/s
2026-06-14 18:02:30,82.7 kb/s,313 kb/s
2026-06-14 18:03:00,83.0 kb/s,313 kb/s
2026-06-14 18:03:30,82.5 kb/s,292 kb/s
2026-06-14 18:04:00,85.4 kb/s,314 kb/s
2026-06-14 18:04:30,79.1 kb/s,296 kb/s
2026-06-14 18:05:00,70.6 kb/s,329 kb/s
2026-06-14 18:05:30,45.0 kb/s,298 kb/s
2026-06-14 18:06:00,50.0 kb/s,269 kb/s
2026-06-14 18:06:30,49.2 kb/s,285 kb/s
2026-06-14 18:07:00,42.0 kb/s,291 kb/s
2026-06-14 18:07:30,29.1 kb/s,270 kb/s
2026-06-14 18:08:00,42.9 kb/s,286 kb/s
2026-06-14 18:08:30,90.6 kb/s,367 kb/s
2026-06-14 18:09:00,45.0 kb/s,275 kb/s
2026-06-14 18:09:30,33.3 kb/s,293 kb/s
2026-06-14 18:10:00,30.9 kb/s,291 kb/s
2026-06-14 18:10:30,31.4 kb/s,266 kb/s
2026-06-14 18:11:00,45.3 kb/s,286 kb/s
2026-06-14 18:11:30,30.5 kb/s,269 kb/s
2026-06-14 18:12:00,40.8 kb/s,277 kb/s
2026-06-14 18:12:30,35.8 kb/s,277 kb/s
2026-06-14 18:13:00,30.8 kb/s,276 kb/s
2026-06-14 18:13:30,23.7 kb/s,208 kb/s
2026-06-14 18:14:00,6.49 kb/s,3.21 kb/s
2026-06-14 18:14:30,125 kb/s,104 kb/s
2026-06-14 18:15:00,45.0 kb/s,19.0 kb/s
2026-06-14 18:15:30,55.9 kb/s,23.4 kb/s
2026-06-14 18:16:00,17.2 kb/s,7.34 kb/s
2026-06-14 18:16:30,16.1 kb/s,6.83 kb/s
2026-06-14 18:17:00,5.02 kb/s,2.50 kb/s
2026-06-14 18:17:30,18.8 kb/s,8.97 kb/s
2026-06-14 18:18:00,31.1 kb/s,15.6 kb/s
2026-06-14 18:18:30,16.8 kb/s,7.99 kb/s
2026-06-14 18:19:00,17.0 kb/s,8.44 kb/s
2026-06-14 18:19:30,31.1 kb/s,15.3 kb/s
2026-06-14 18:20:00,63.0 kb/s,35.3 kb/s
2026-06-14 18:20:30,90.2 kb/s,45.5 kb/s
2026-06-14 18:21:00,90.8 kb/s,673 kb/s
2026-06-14 18:21:30,74.2 kb/s,34.6 kb/s
2026-06-14 18:22:00,66.6 kb/s,52.1 kb/s
