"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2026-06-14 18:26:00,,,650,,,,,
2026-06-14 18:26:30,246,143,,1,629,596,615,0.233
2026-06-14 18:27:00,244,144,,1,835,804,817,0.433
2026-06-14 18:27:30,244,148,,1,844,846,878,0.233
2026-06-14 18:28:00,244,149,642,1,817,971,987,0.233
2026-06-14 18:28:30,244,128,,1,832,876,923,0.133
2026-06-14 18:29:00,244,132,,1,843,749,768,0.100
2026-06-14 18:29:30,244,126,,1,843,737,773,0.300
2026-06-14 18:30:00,244,129,642,1,831,770,791,0.500
2026-06-14 18:30:30,244,138,,1,844,796,824,0.367
2026-06-14 18:31:00,244,145,,1,851,776,801,0.300
2026-06-14 18:31:30,244,138,,1,855,728,763,0.133
2026-06-14 18:32:00,244,133,641,1,832,714,738,0.133
2026-06-14 18:32:30,244,139,,1,842,726,772,0.0333
2026-06-14 18:33:00,247,139,,1,822,731,759,0.100
2026-06-14 18:33:30,247,149,,1,792,735,769,0.0667
2026-06-14 18:34:00,247,145,645,1,794,735,767,0.100
2026-06-14 18:34:30,244,123,,1,778,714,751,0.1000
2026-06-14 18:35:00,244,122,,1,773,700,725,0.333
2026-06-14 18:35:30,244,141,,1,769,699,737,0.133
2026-06-14 18:36:00,244,145,642,1,769,733,756,0.100
2026-06-14 18:36:30,244,131,,1,780,799,828,0.167
2026-06-14 18:37:00,244,129,,1,782,762,784,0.0667
2026-06-14 18:37:30,244,152,,1,782,692,729,0.300
2026-06-14 18:38:00,244,146,641,1,771,729,754,0.200
2026-06-14 18:38:30,244,132,,1,770,719,756,0.200
2026-06-14 18:39:00,246,133,,1,791,771,795,0.167
2026-06-14 18:39:30,244,137,,1,790,737,776,0.167
2026-06-14 18:40:00,244,134,642,1,789,743,767,0.233
2026-06-14 18:40:30,244,129,,1,778,720,760,0.167
2026-06-14 18:41:00,244,124,,1,774,710,736,0.200
2026-06-14 18:41:30,247,124,,1,785,738,775,0.0667
2026-06-14 18:42:00,247,132,645,1,838,696,716,0.0667
2026-06-14 18:42:30,247,138,,1,842,827,844,0.567
2026-06-14 18:43:00,244,136,,1,841,688,712,0.233
2026-06-14 18:43:30,244,143,,1,825,675,703,0.167
2026-06-14 18:44:00,244,136,642,1,833,731,742,0.100
2026-06-14 18:44:30,244,132,,1,802,810,837,0.267
2026-06-14 18:45:00,244,138,,1,815,632,649,0
2026-06-14 18:45:30,244,135,,1,813,662,694,0.0333
2026-06-14 18:46:00,244,140,640,1,785,700,722,0.167
2026-06-14 18:46:30,244,135,,1,840,681,709,0.300
2026-06-14 18:47:00,244,131,,1,840,711,729,0.133
2026-06-14 18:47:30,244,134,,1,852,715,743,0.100
2026-06-14 18:48:00,244,135,642,1,828,662,680,0.0667
2026-06-14 18:48:30,244,129,,1,826,678,708,0.133
2026-06-14 18:49:00,244,137,,1,823,682,700,0.0667
2026-06-14 18:49:30,244,143,,1,822,747,771,0.0333
2026-06-14 18:50:00,244,139,642,1,840,804,816,0.367
2026-06-14 18:50:30,244,141,,1,833,699,729,0.167
2026-06-14 18:51:00,244,141,,1,829,672,688,0.133
2026-06-14 18:51:30,247,130,,1,451,504,534,0.0667
